Static Spatial Factors (SSF) and Dynamic Spatial Factors (DSF)for DRWM test of iRho-V																				
STEP	C1_SSF	C1_DSF	C2_SSF	C2_DSF	C3_SSF	C3_DSF	C4_SSF	C4_DSF	C5_SSF	C5_DSF	C6_SSF	C6_DSF	C7_SSF	C7_DSF	C8_SSF	C8_DSF	C9_SSF	C9_DSF	10_SSF	10_DSF
362	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
361	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
360	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
359	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
358	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
356	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
354	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
353	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
352	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
351	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
350	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
349	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
348	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
347	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
345	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
344	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
343	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
341	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
340	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
339	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
335	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
331	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
330	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
320	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
317	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
315	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
312	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
